pd        	ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gzConfidences: 90.55,  7.77,  1.68
t2        	ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20070317113330531_1_S28260_I45059.nii.gzConfidences: 26.11,  6.40, 67.48
pd        	ADNI_137_S_4623_MR_MPRAGE_br_raw_20120716133851780_134_S157685_I316426.nii.gzConfidences: 76.97, 15.10,  7.93
pd        	ADNI_037_S_4381_MR_MPRAGE_br_raw_20130128145731238_37_S181073_I356409.nii.gzConfidences: 76.79, 18.87,  4.35
t2        	ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20090603130958262_1_S68217_I145343.nii.gzConfidences: 28.89,  9.67, 61.44
t1        	ADNI_052_S_4945_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140117153442500_32_S210329_I404956.nii.gzConfidences: 22.97, 42.85, 34.18
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20120710085624999_55_S157055_I315600.nii.gzConfidences: 20.37, 18.40, 61.22
pd        	ADNI_041_S_4989_MR_MPRAGE_br_raw_20121019135519032_133_S171438_I341287.nii.gzConfidences: 51.28, 34.59, 14.14
t2        	ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20070208172659191_1_S26142_I38615.nii.gzConfidences: 22.96,  6.33, 70.71
t2        	ADNI_136_S_0429_MR_Axial_PD_T2_FSE__br_raw_20070619093112197_83_S33722_I57211.nii.gzConfidences: 31.73,  4.67, 63.60
t2        	ADNI_094_S_1397_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070427161704522_1_S31010_I51787.nii.gzConfidences: 25.09, 14.63, 60.28
t2        	ADNI_027_S_5110_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140429151542425_15_S217320_I422905.nii.gzConfidences: 19.63, 25.05, 55.32
pd        	ADNI_037_S_4381_MR_MPRAGE_br_raw_20120119075105923_173_S137404_I279148.nii.gzConfidences: 78.22, 17.65,  4.13
t2        	ADNI_007_S_0041_MR_Axial_PD_T2_FSE__br_raw_20051021145156443_9_S9998_I8181.nii.gzConfidences: 33.95, 11.48, 54.57
t2        	ADNI_052_S_4944_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140131132119697_8_S211676_I412257.nii.gzConfidences: 25.07, 29.38, 45.54
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20110118122846496_91_S97707_I212870.nii.gzConfidences: 18.57,  7.61, 73.82
pd        	ADNI_019_S_5019_MR_MPRAGE_br_raw_20130212132253164_128_S182045_I358814.nii.gzConfidences: 58.68, 28.16, 13.16
t2        	ADNI_021_S_5099_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140326142643836_8_S214751_I417763.nii.gzConfidences: 31.62, 28.84, 39.54
pd        	ADNI_011_S_0856_MR_MPRAGE_br_raw_20081002093141309_1_S56926_I118964.nii.gzConfidences: 88.47,  8.76,  2.77
pd        	ADNI_072_S_4465_MR_MPRAGE_br_raw_20120214131432831_135_S140706_I284732.nii.gzConfidences: 67.77, 19.67, 12.56
t1        	ADNI_127_S_4992_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130425160742734_18_S188016_I368811.nii.gzConfidences: 35.86, 43.46, 20.68
pd        	ADNI_130_S_4468_MR_MPRAGE_br_raw_20120815103159815_160_S160836_I323819.nii.gzConfidences: 53.30, 28.67, 18.03
t2        	ADNI_006_S_4960_MR_MPRAGE_br_raw_20130110143255350_50_S179857_I354588.nii.gzConfidences: 42.01, 13.40, 44.59
t2        	ADNI_094_S_1015_MR_Axial_PD_T2_FSE__br_raw_20061031084413073_1_S21456_I28004.nii.gzConfidences: 32.88,  2.64, 64.48
t2        	ADNI_094_S_4858_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20141029171746007_4_S235260_I450312.nii.gzConfidences: 24.28, 27.89, 47.83
pd        	ADNI_022_S_2263_MR_MPRAGE_br_raw_20110825111833147_85_S120298_I252708.nii.gzConfidences: 80.33, 18.21,  1.47
pd        	ADNI_116_S_4195_MR_MPRAGE_br_raw_20120918082702079_72_S167788_I335031.nii.gzConfidences: 70.33, 26.64,  3.04
t2        	ADNI_137_S_0366_MR_Axial_PD_T2_FSE__br_raw_20060510153758470_1_S14202_I14919.nii.gzConfidences: 25.96,  6.64, 67.40
t2        	ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20081107104513561_1_S58444_I125491.nii.gzConfidences: 23.49,  3.91, 72.60
pd        	ADNI_009_S_4564_MR_MPRAGE_br_raw_20120312094555037_80_S143615_I289790.nii.gzConfidences: 66.80, 28.30,  4.90
pd        	ADNI_037_S_4706_MR_MPRAGE_br_raw_20160518092456848_21_S442613_I709520.nii.gzConfidences: 74.81, 18.11,  7.08
t2        	ADNI_094_S_1402_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070511140208496_1_S32101_I54219.nii.gzConfidences: 12.75,  8.39, 78.87
t2        	ADNI_098_S_0667_MR_Axial_PD_T2_FSE__br_raw_20060629100042451_1_S15978_I17700.nii.gzConfidences: 24.69,  2.55, 72.76
t2        	ADNI_094_S_1164_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070703130146279_1_S34365_I58422.nii.gzConfidences: 23.82,  9.94, 66.25
t2        	ADNI_053_S_1044_MR_Axial_PD_T2_FSE__br_raw_20081211111657921_1_S60771_I130080.nii.gzConfidences: 29.60,  5.81, 64.59
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20150827144457854_125_S270234_I507147.nii.gzConfidences: 81.73, 11.07,  7.21
pd        	ADNI_067_S_0029_MR_MPRAGE_br_raw_20060525142050231_63_S14925_I16031.nii.gzConfidences: 83.79, 10.97,  5.24
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20091221135424659_17_S77448_I161306.nii.gzConfidences: 26.35, 10.51, 63.14
pd        	ADNI_031_S_4590_MR_MPRAGE_br_raw_20130325172747193_110_S185242_I364457.nii.gzConfidences: 67.31, 16.50, 16.20
pd        	ADNI_123_S_4127_MR_MPRAGE_br_raw_20111115142655668_88_S129407_I266643.nii.gzConfidences: 60.67, 37.90,  1.44
t1        	ADNI_127_S_4604_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20160408091414498_8_S413719_I674989.nii.gzConfidences: 36.81, 42.65, 20.54
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20111115163034902_81_S129519_I266778.nii.gzConfidences: 20.43,  4.34, 75.23
pd        	ADNI_116_S_4195_MR_MPRAGE_br_raw_20110901175610510_89_S121073_I254248.nii.gzConfidences: 75.35, 23.68,  0.96
t2        	ADNI_130_S_0969_MR_Axial_PD_T2_FSE__br_raw_20061019144433075_25_S20383_I26687.nii.gzConfidences: 33.61,  2.30, 64.09
pd        	ADNI_067_S_2084_MR_MPRAGE_br_raw_20100930121924386_140_S92837_I194187.nii.gzConfidences: 83.88, 13.40,  2.73
t2        	ADNI_094_S_1402_MR_Axial_PD_T2_FSE__br_raw_20080523105810564_1_S50487_I106641.nii.gzConfidences: 18.42,  5.39, 76.18
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20070529145812869_73_S32732_I55393.nii.gzConfidences: 17.28,  5.05, 77.67
t2        	ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20071016100149554_109_S41526_I77848.nii.gzConfidences: 30.48,  8.61, 60.91
t2        	ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20080424162928270_1_S49278_I103933.nii.gzConfidences: 33.87,  7.31, 58.82
pd        	ADNI_073_S_5023_MR_MPRAGE_br_raw_20131009133645228_136_S203499_I393941.nii.gzConfidences: 67.35, 24.76,  7.89
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_20060314125959847_1_S12167_I11939.nii.gzConfidences:  9.81,  4.83, 85.36
pd        	ADNI_031_S_2233_MR_MPRAGE_br_raw_20110614152433605_74_S111463_I240050.nii.gzConfidences: 52.39, 27.67, 19.94
pd        	ADNI_037_S_4381_MR_MPRAGE_br_raw_20160603155035966_77_S455200_I723965.nii.gzConfidences: 83.80, 10.07,  6.13
t2        	ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20080424153525958_1_S49264_I103909.nii.gzConfidences: 23.02,  7.10, 69.89
t2        	ADNI_016_S_4646_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140611161234776_37_S221919_I430431.nii.gzConfidences: 30.82, 29.23, 39.95
t2        	ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20080215115651914_27_S45730_I90472.nii.gzConfidences: 19.20,  2.17, 78.62
pd        	ADNI_003_S_1057_MR_MPRAGE_br_raw_20090323091654593_98_S64900_I139584.nii.gzConfidences: 82.54,  9.62,  7.85
t2        	ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20090506154752795_1_S67105_I143281.nii.gzConfidences: 29.87, 14.44, 55.69
t2        	ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20061208092733739_1_S23600_I32148.nii.gzConfidences: 18.19,  2.70, 79.11
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20071016105837880_95_S41534_I77861.nii.gzConfidences: 26.39,  3.71, 69.91
pd        	ADNI_099_S_0551_MR_MPRAGE_br_raw_20060518091159500_98_S14644_I15575.nii.gzConfidences: 71.72, 12.80, 15.47
pd        	ADNI_130_S_4997_MR_MPRAGE_br_raw_20121120141641968_22_S175145_I347410.nii.gzConfidences: 67.69, 19.00, 13.31
t2        	ADNI_116_S_0890_MR_FSE_PD_T2__br_raw_20070123084511343_3_S25385_I37184.nii.gzConfidences: 12.53, 13.70, 73.78
pd        	ADNI_018_S_2133_MR_MPRAGE_br_raw_20110824142729921_126_S120223_I252599.nii.gzConfidences: 58.02, 18.43, 23.55
t2        	ADNI_027_S_5093_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130913142334439_24_S200672_I389971.nii.gzConfidences: 30.00, 30.32, 39.68
pd        	ADNI_041_S_4874_MR_MPRAGE_br_raw_20140902172713350_158_S229954_I442430.nii.gzConfidences: 61.24, 24.01, 14.75
pd        	ADNI_033_S_0733_MR_MPRAGE_br_raw_20070814121736400_98_S37309_I67598.nii.gzConfidences: 68.67, 27.84,  3.49
t2        	ADNI_131_S_0319_MR_Axial_PD_T2_FSE__br_raw_20061020133715198_1_S20476_I26799.nii.gzConfidences: 23.33, 17.20, 59.47
t2        	ADNI_037_S_0327_MR_FSE_PD_T2__br_raw_20060419133030043_1_S13471_I13799.nii.gzConfidences: 15.05,  7.23, 77.72
t2        	ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20090306122930282_1_S64037_I137856.nii.gzConfidences: 21.06,  3.08, 75.86
pd        	ADNI_023_S_4448_MR_MPRAGE_br_raw_20130301095403710_136_S183430_I361686.nii.gzConfidences: 72.93, 25.02,  2.05
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20071005130533370_77_S41006_I76865.nii.gzConfidences:  7.56,  5.70, 86.74
t2        	ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20060305150140156_95_S11962_I11613.nii.gzConfidences: 24.35,  6.75, 68.90
pd        	ADNI_073_S_4552_MR_MPRAGE_br_raw_20120918095916494_87_S167859_I335137.nii.gzConfidences: 81.18, 14.31,  4.51
pd        	ADNI_036_S_4894_MR_MPRAGE_br_raw_20130313142913700_94_S184325_I363016.nii.gzConfidences: 64.15, 34.37,  1.47
pd        	ADNI_037_S_4432_MR_MPRAGE_br_raw_20120501153838456_142_S148786_I301273.nii.gzConfidences: 83.44, 10.19,  6.37
t2        	ADNI_033_S_0513_MR_Axial_PD_T2_FSE__br_raw_20080529141041640_1_S50759_I107769.nii.gzConfidences: 26.69,  0.14, 73.17
pd        	ADNI_020_S_4920_MR_MPRAGE_br_raw_20121207145620168_2_S167565_I334258.nii.gzConfidences: 65.91, 16.93, 17.16
pd        	ADNI_011_S_2274_MR_MPRAGE_br_raw_20110819154214417_23_S119770_I251937.nii.gzConfidences: 82.13,  8.70,  9.16
pd        	ADNI_067_S_4072_MR_MPRAGE_br_raw_20120209113149922_139_S140294_I283640.nii.gzConfidences: 68.21, 10.89, 20.90
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20070508122048428_1_S31891_I53771.nii.gzConfidences: 23.45,  4.14, 72.41
t2        	ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20100722173740049_17_S89462_I186072.nii.gzConfidences: 17.18,  9.62, 73.20
t2        	ADNI_021_S_0178_MR_Axial_PD_T2_FSE__br_20060210134518011_1_S11570_I10996.nii.gzConfidences: 22.36,  4.21, 73.43
pd        	ADNI_037_S_4028_MR_MPRAGE_br_raw_20120507155215224_174_S149311_I302020.nii.gzConfidences: 70.70, 17.17, 12.14
pd        	ADNI_067_S_1253_MR_MPRAGE_br_raw_20070403120122650_98_S29241_I47973.nii.gzConfidences: 70.05, 29.52,  0.43
t2        	ADNI_053_S_1044_MR_Axial_PD_T2_FSE__br_raw_20070611161144984_1_S33447_I56738.nii.gzConfidences: 26.23, 13.54, 60.22
pd        	ADNI_041_S_4513_MR_MPRAGE_br_raw_20120229153114831_145_S142100_I287125.nii.gzConfidences: 74.14, 24.98,  0.88
pd        	ADNI_123_S_4127_MR_MPRAGE_br_raw_20120806132001118_46_S159610_I321733.nii.gzConfidences: 70.86, 27.46,  1.67
t2        	ADNI_133_S_0629_MR_Axial_PD_T2_FSE__br_raw_20060628143526764_1_S15912_I17594.nii.gzConfidences: 13.50,  4.24, 82.26
pd        	ADNI_009_S_4324_MR_MPRAGE_br_raw_20121114162609053_71_S174627_I346697.nii.gzConfidences: 68.94, 30.81,  0.25
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20080724121752163_98_S54086_I114256.nii.gzConfidences: 90.09,  7.65,  2.26
pd        	ADNI_116_S_4199_MR_MPRAGE_br_raw_20110825135128784_131_S120348_I252816.nii.gzConfidences: 80.45, 13.29,  6.26
pd        	ADNI_010_S_0422_MR_MPRAGE_br_raw_20070405102809443_76_S29318_I48187.nii.gzConfidences: 70.34, 15.04, 14.62
t2        	ADNI_127_S_5185_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130529170721178_34_S190937_I374508.nii.gzConfidences: 37.79, 23.79, 38.42
pd        	ADNI_035_S_2074_MR_MPRAGE_br_raw_20101123103549001_86_S95156_I206273.nii.gzConfidences: 79.60, 18.19,  2.21
t2        	ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20110610132841953_75_S111201_I239653.nii.gzConfidences: 26.26,  7.65, 66.09
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20070828133454927_98_S38593_I70745.nii.gzConfidences: 78.49, 21.23,  0.28
pd        	ADNI_031_S_4024_MR_MPRAGE_br_raw_20111031124445941_133_S127381_I263857.nii.gzConfidences: 58.70, 26.47, 14.83
t2        	ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20070430133736000_1_S31134_I52241.nii.gzConfidences: 31.88,  8.74, 59.37
pd        	ADNI_009_S_5252_MR_MPRAGE_br_raw_20140227152524000_59_S213442_I415587.nii.gzConfidences: 79.99, 15.22,  4.79
pd        	ADNI_067_S_4072_MR_MPRAGE_br_raw_20130710151002667_166_S194448_I379761.nii.gzConfidences: 71.51, 17.86, 10.63
pd        	ADNI_012_S_4094_MR_MPRAGE_br_raw_20120125140342562_1_S138470_I280647.nii.gzConfidences: 55.52, 33.94, 10.54
t1        	ADNI_029_S_4585_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130523111640004_34_S190395_I373654.nii.gzConfidences: 40.81, 42.24, 16.96
t2        	ADNI_029_S_5166_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20151012113731834_39_S272130_I509458.nii.gzConfidences: 31.36, 19.33, 49.31
pd        	ADNI_099_S_4480_MR_MPRAGE_br_raw_20130226081034287_158_S183108_I361248.nii.gzConfidences: 62.70, 33.96,  3.34
pd        	ADNI_072_S_4769_MR_MPRAGE_br_raw_20120713095255501_131_S157503_I316181.nii.gzConfidences: 58.08, 38.86,  3.06
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20100205105213277_98_S79788_I165842.nii.gzConfidences: 79.23,  9.61, 11.16
pd        	ADNI_033_S_5087_MR_MPRAGE_br_raw_20130524114449696_140_S190476_I373785.nii.gzConfidences: 70.10, 28.64,  1.27
t2        	ADNI_002_S_0954_MR_Axial_PD_T2_FSE__br_raw_20070503232224389_1_S31732_I53468.nii.gzConfidences: 37.61, 11.25, 51.14
pd        	ADNI_068_S_2187_MR_MPRAGE_br_raw_20101117131314624_155_S94915_I205387.nii.gzConfidences: 66.99, 22.37, 10.64
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20070705150742675_95_S34435_I58567.nii.gzConfidences: 79.97, 12.19,  7.84
t1        	ADNI_003_S_0908_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20140113094236817_9_S210035_I404528.nii.gzConfidences: 43.22, 46.42, 10.36
pd        	ADNI_011_S_4235_MR_MPRAGE_br_raw_20120412145620911_129_S147089_I297208.nii.gzConfidences: 86.15, 12.27,  1.57
pd        	ADNI_072_S_2116_MR_MPRAGE_br_raw_20101027115226149_78_S93781_I199331.nii.gzConfidences: 78.04, 21.68,  0.29
t2        	ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20070225110205112_95_S27090_I41584.nii.gzConfidences: 17.10,  9.38, 73.52
t2        	ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20070416162728640_1_S29777_I49265.nii.gzConfidences: 22.16,  8.02, 69.82
pd        	ADNI_073_S_4259_MR_MPRAGE_br_raw_20121210121419802_141_S176943_I350413.nii.gzConfidences: 57.26, 40.78,  1.97
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20061101131830025_1_S21635_I28270.nii.gzConfidences: 23.30, 14.63, 62.07
pd        	ADNI_013_S_2324_MR_MPRAGE_br_raw_20120521102417497_148_S151091_I305410.nii.gzConfidences: 62.04, 16.13, 21.83
t2        	ADNI_136_S_0429_MR_Axial_PD_T2_FSE__br_raw_20071218090250963_1_S43995_I85271.nii.gzConfidences: 29.90,  2.64, 67.46
pd        	ADNI_032_S_0147_MR____________MPRAGE__br_raw_20060927180549924_1_S19428_I25240.nii.gzConfidences: 67.89, 21.01, 11.10
pd        	ADNI_011_S_0022_MR_MPRAGE_br_raw_20061024105050974_1_S20819_I27231.nii.gzConfidences: 79.88,  9.24, 10.88
pd        	ADNI_072_S_4769_MR_MPRAGE_br_raw_20121018091428761_168_S171340_I340968.nii.gzConfidences: 71.91, 27.01,  1.09
t2        	ADNI_031_S_0351_MR_FSE_PD_T2__br_raw_20061003115123359_1_S13462_I13785.nii.gzConfidences: 11.52,  4.80, 83.68
pd        	ADNI_072_S_2027_MR_MPRAGE_br_raw_20100722144412950_1_S89417_I185624.nii.gzConfidences: 69.47, 22.18,  8.35
t2        	ADNI_098_S_0667_MR_Axial_PD_T2_FSE__br_raw_20070823164719234_1_S38226_I70082.nii.gzConfidences: 25.03,  6.68, 68.28
t2        	ADNI_098_S_0667_MR_Axial_PD_T2_FSE__br_raw_20060629100302098_1_S15977_I17699.nii.gzConfidences: 29.02,  4.59, 66.39
t1        	ADNI_016_S_4646_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20130515153102891_17_S189458_I372423.nii.gzConfidences: 38.97, 42.83, 18.20
t2        	ADNI_033_S_1309_MR_Axial_PD_T2_FSE__br_raw_20070209121129403_1_S26193_I38835.nii.gzConfidences: 26.79,  9.58, 63.63
pd        	ADNI_116_S_4625_MR_MPRAGE_br_raw_20121019145744642_4_S171482_I341366.nii.gzConfidences: 77.75, 18.95,  3.30
pd        	ADNI_068_S_4061_MR_MPRAGE_br_raw_20111228134812371_156_S134998_I274631.nii.gzConfidences: 57.55, 31.62, 10.83
t2        	ADNI_133_S_0913_MR_Axial_PD_T2_FSE__br_raw_20070719130658441_95_S35317_I60886.nii.gzConfidences: 20.66, 20.18, 59.16
pd        	ADNI_114_S_0410_MR_MPRAGE_br_raw_20070423140609230_95_S30132_I49966.nii.gzConfidences: 78.52,  8.39, 13.08
pd        	ADNI_130_S_4817_MR_MPRAGE_br_raw_20140729133030953_92_S226290_I437518.nii.gzConfidences: 76.91,  5.80, 17.29
t2        	ADNI_029_S_4384_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140424123734158_4_S216979_I421570.nii.gzConfidences: 37.17, 24.67, 38.16
pd        	ADNI_031_S_4024_MR_MPRAGE_br_raw_20120417144644539_160_S147390_I297848.nii.gzConfidences: 62.90, 33.05,  4.05
pd        	ADNI_009_S_5252_MR_MPRAGE_br_raw_20130718171333134_8_S195586_I381382.nii.gzConfidences: 81.61, 11.96,  6.44
pd        	ADNI_023_S_4502_MR_MPRAGE_br_raw_20120306170516346_176_S142877_I288461.nii.gzConfidences: 64.55, 30.30,  5.15
t2        	ADNI_099_S_4463_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140509090421475_24_S218238_I424254.nii.gzConfidences: 24.07, 31.10, 44.83
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20111219134514093_130_S133784_I273027.nii.gzConfidences: 75.54, 15.72,  8.74
pd        	ADNI_023_S_4502_MR_MPRAGE_br_raw_20120625163142249_45_S155376_I312471.nii.gzConfidences: 62.31, 27.30, 10.39
pd        	ADNI_002_S_2010_MR_MPRAGE_br_raw_20100625000702005_12_S88111_I180310.nii.gzConfidences: 55.11, 22.83, 22.06
t1        	ADNI_052_S_4945_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20150107162139981_5_S244630_I467908.nii.gzConfidences: 33.51, 38.91, 27.58
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE__br_raw_20070101014359667_1_S25748_I37832.nii.gzConfidences: 21.49, 16.02, 62.49
pd        	ADNI_035_S_2074_MR_MPRAGE_br_raw_20110401142308644_78_S102907_I225784.nii.gzConfidences: 72.75, 25.77,  1.48
pd        	ADNI_003_S_1057_MR_MPRAGE_br_raw_20100217150708453_60_S80181_I166383.nii.gzConfidences: 88.01,  7.78,  4.21
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20071005130413956_63_S41007_I76866.nii.gzConfidences: 10.25,  1.95, 87.81
pd        	ADNI_099_S_4480_MR_MPRAGE_br_raw_20120217071401436_134_S141072_I285329.nii.gzConfidences: 74.88, 17.13,  7.99
t2        	ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20071008105138549_1_S41084_I77107.nii.gzConfidences: 25.41, 20.62, 53.97
t2        	ADNI_094_S_1330_MR_Axial_PD_T2_FSE__br_raw_20080917104357939_1_S56493_I118020.nii.gzConfidences: 23.64,  8.45, 67.91
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20091103155056453_1_S75834_I158221.nii.gzConfidences: 26.77,  5.13, 68.10
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20080104111800354_98_S44323_I86564.nii.gzConfidences: 89.74,  8.43,  1.83
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20071011131636031_31_S41272_I77457.nii.gzConfidences: 24.60,  9.03, 66.37
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20090407130720625_55_S65680_I140700.nii.gzConfidences: 18.16,  3.10, 78.74
pd        	ADNI_073_S_4360_MR_MPRAGE_br_raw_20111117101622036_65_S130051_I267435.nii.gzConfidences: 67.98, 26.50,  5.52
t1        	ADNI_052_S_4944_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130419133353352_15_S187417_I367977.nii.gzConfidences: 28.52, 41.31, 30.17
pd        	ADNI_009_S_4741_MR_MPRAGE_br_raw_20120614105529910_44_S153992_I310559.nii.gzConfidences: 82.28, 17.47,  0.26
t2        	ADNI_098_S_0667_MR_Axial_PD_T2_FSE__br_raw_20070305105114265_1_S27461_I42597.nii.gzConfidences: 28.32,  6.63, 65.05
pd        	ADNI_011_S_4235_MR_MPRAGE_br_raw_20121012095216181_77_S170649_I339811.nii.gzConfidences: 87.25, 10.61,  2.13
pd        	ADNI_128_S_4599_MR_MPRAGE_br_raw_20150417141952398_64_S256016_I487400.nii.gzConfidences: 57.31, 38.24,  4.45
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20070118143850671_98_S25229_I36695.nii.gzConfidences: 72.91, 24.73,  2.37
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20111207085101496_83_S132069_I270367.nii.gzConfidences: 17.58, 16.41, 66.01
pd        	ADNI_037_S_4028_MR_MPRAGE_br_raw_20110425125155063_168_S105075_I228854.nii.gzConfidences: 79.31, 15.52,  5.17
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20140708154207778_47_S97233_I209897.nii.gzConfidences: 21.58,  7.75, 70.67
pd        	ADNI_023_S_0331_MR_MPRAGE_br_raw_20060324083913796_1_S12428_I12373.nii.gzConfidences: 75.83, 15.21,  8.97
pd        	ADNI_099_S_0551_MR_MPRAGE_br_raw_20061128092118218_98_S22948_I30570.nii.gzConfidences: 73.66,  6.78, 19.55
pd        	ADNI_041_S_4513_MR_MPRAGE_br_raw_20130301141049160_57_S183537_I361812.nii.gzConfidences: 88.45, 10.37,  1.18
t2        	ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20071129160207171_1_S43171_I83868.nii.gzConfidences: 28.98, 13.83, 57.19
t2        	ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20060303140730789_109_S11955_I11603.nii.gzConfidences: 32.18,  5.85, 61.97
t2        	ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20090225111808787_119_S63546_I136948.nii.gzConfidences: 27.34,  5.90, 66.77
pd        	ADNI_041_S_4143_MR_MPRAGE_br_raw_20110729115217862_11_S116735_I247654.nii.gzConfidences: 76.15, 23.14,  0.71
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20080214105807800_1_S45679_I90386.nii.gzConfidences: 25.20,  8.05, 66.75
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20120426145701020_116_S148403_I300653.nii.gzConfidences: 70.82, 27.00,  2.18
t2        	ADNI_131_S_0691_MR_Axial_PD_T2_FSE__br_raw_20070212160446322_1_S26380_I39501.nii.gzConfidences: 39.55,  1.67, 58.78
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20090520145050265_86_S67528_I144296.nii.gzConfidences: 53.32, 46.66,  0.02
pd        	ADNI_020_S_0213_MR_MPRAGE_br_raw_20060322151908843_98_S12386_I12299.nii.gzConfidences: 89.05,  0.26, 10.69
pd        	ADNI_014_S_4039_MR_MPRAGE_br_raw_20110603075656539_127_S110533_I238745.nii.gzConfidences: 76.62, 23.23,  0.16
t2        	ADNI_136_S_0300_MR_Axial_PD_T2_FSE__br_raw_20080520133518362_1_S50399_I106253.nii.gzConfidences: 25.96,  2.17, 71.88
pd        	ADNI_036_S_2378_MR_MPRAGE_br_raw_20110527103856537_22_S110057_I237733.nii.gzConfidences: 69.90, 23.22,  6.88
t2        	ADNI_027_S_2245_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20160218145228543_42_S377795_I634545.nii.gzConfidences: 20.51, 32.96, 46.53
pd        	ADNI_941_S_4187_MR_MPRAGE_br_raw_20110826090248791_112_S120388_I252869.nii.gzConfidences: 73.11, 18.01,  8.89
